ACCIDENT_NO,Accident_Date_Time,NO_PERSONS_KILLED,Light_Condition_Desc,Light_Condition_Category
T20150000004,2015-01-01 02:10:00,0,Dark Street lights on,Dark Street lights on
T20150000005,2015-01-01 00:31:00,0,Dark Street lights on,Dark Street lights on
T20150000008,2015-01-01 00:10:00,1,Dark No street lights,Dark Street no lights
T20150000011,2015-01-01 01:15:00,0,Dark No street lights,Dark Street no lights
T20150000014,2015-01-01 07:30:00,0,Day,Day
T20150000017,2015-01-01 07:20:00,0,Day,Day
T20150000020,2015-01-01 06:51:00,1,Dusk/Dawn,Others
T20150000021,2015-01-01 11:15:00,0,Day,Day
T20150000028,2015-01-01 07:55:00,0,Day,Day
T20150000031,2015-01-01 16:25:00,0,Day,Day
T20150000034,2015-01-01 17:10:00,0,Day,Day
T20150000035,2015-01-01 18:20:00,0,Day,Day
T20150000037,2015-01-01 19:00:00,0,Dusk/Dawn,Others
T20150000039,2015-01-01 20:00:00,0,Dusk/Dawn,Others
T20150000041,2015-01-01 19:30:00,0,Dusk/Dawn,Others
T20150000042,2015-01-01 12:00:00,0,Day,Day
T20150000043,2015-01-01 19:30:00,0,Dusk/Dawn,Others
T20150000050,2015-01-01 04:00:00,0,Dark No street lights,Dark Street no lights
T20150000052,2015-01-01 01:20:00,0,Dark Street lights on,Dark Street lights on
T20150000056,2015-02-01 03:00:00,0,Dark Street lights off,Dark Street no lights
T20150000057,2015-01-01 04:47:00,0,Dark Street lights on,Dark Street lights on
T20150000060,2015-02-01 07:30:00,0,Day,Day
T20150000063,2015-02-01 08:30:00,0,Day,Day
T20150000067,2015-01-01 18:10:00,0,Day,Day
T20150000072,2015-01-01 21:15:00,0,Dark Street lights on,Dark Street lights on
T20150000075,2015-02-01 12:05:00,0,Day,Day
T20150000076,2015-02-01 09:55:00,0,Day,Day
T20150000084,2015-02-01 12:50:00,0,Day,Day
T20150000087,2015-02-01 15:00:00,0,Day,Day
T20150000088,2015-02-01 13:50:00,0,Day,Day
T20150000093,2015-02-01 12:05:00,0,Unknown,Others
T20150000096,2015-02-01 16:55:00,0,Day,Day
T20150000098,2015-02-01 16:15:00,0,Day,Day
T20150000100,2015-02-01 19:30:00,0,Dusk/Dawn,Others
T20150000101,2015-02-01 17:28:00,0,Day,Day
T20150000103,2015-02-01 18:25:00,0,Day,Day
T20150000105,2015-02-01 17:40:00,0,Day,Day
T20150000106,2015-02-01 16:30:00,0,Day,Day
T20150000110,2015-02-01 20:33:00,0,Dusk/Dawn,Others
T20150000113,2015-02-01 17:00:00,0,Day,Day
T20150000114,2015-02-01 20:05:00,0,Dusk/Dawn,Others
T20150000116,2015-02-01 22:05:00,0,Dark Street lights on,Dark Street lights on
T20150000118,2015-02-01 22:20:00,0,Dark Street lights on,Dark Street lights on
T20150000119,2015-02-01 16:14:00,0,Day,Day
T20150000120,2015-02-01 22:20:00,0,Dark No street lights,Dark Street no lights
T20150000124,2015-02-01 23:50:00,0,Dark Street lights off,Dark Street no lights
T20150000125,2015-02-01 23:40:00,0,Dark No street lights,Dark Street no lights
T20150000127,2015-03-01 05:00:00,0,Dark Street lights on,Dark Street lights on
T20150000128,2015-02-01 14:30:00,0,Day,Day
T20150000131,2015-03-01 12:10:00,0,Day,Day
T20150000133,2015-03-01 10:13:00,0,Day,Day
T20150000134,2015-03-01 12:43:00,0,Day,Day
T20150000135,2015-03-01 07:50:00,0,Day,Day
T20150000136,2015-03-01 08:18:00,0,Day,Day
T20150000140,2015-03-01 12:30:00,0,Day,Day
T20150000142,2015-03-01 13:50:00,0,Day,Day
T20150000143,2015-03-01 12:51:00,0,Day,Day
T20150000146,2015-03-01 14:20:00,0,Day,Day
T20150000148,2015-03-01 00:30:00,0,Dark Street lights unknown,Others
T20150000150,2015-02-01 15:20:00,0,Day,Day
T20150000151,2015-03-01 13:40:00,0,Day,Day
T20150000152,2015-03-01 12:30:00,0,Day,Day
T20150000153,2015-03-01 14:55:00,0,Day,Day
T20150000154,2015-03-01 11:14:00,0,Day,Day
T20150000155,2015-03-01 15:30:00,0,Day,Day
T20150000156,2015-02-01 21:00:00,0,Dusk/Dawn,Others
T20150000157,2015-03-01 15:25:00,0,Day,Day
T20150000159,2015-03-01 18:16:00,0,Day,Day
T20150000160,2015-03-01 18:40:00,0,Day,Day
T20150000161,2015-03-01 17:25:00,0,Day,Day
T20150000163,2015-03-01 18:45:00,0,Day,Day
T20150000164,2015-02-01 19:55:00,0,Dusk/Dawn,Others
T20150000165,2015-03-01 19:15:00,0,Dusk/Dawn,Others
T20150000166,2015-03-01 10:45:00,0,Day,Day
T20150000168,2015-03-01 16:47:00,0,Day,Day
T20150000170,2015-03-01 05:43:00,0,Dusk/Dawn,Others
T20150000171,2015-03-01 22:15:00,0,Dark Street lights on,Dark Street lights on
T20150000172,2015-04-01 01:21:00,0,Dark Street lights on,Dark Street lights on
T20150000173,2015-03-01 22:20:00,0,Dark No street lights,Dark Street no lights
T20150000175,2015-04-01 00:20:00,0,Dark Street lights on,Dark Street lights on
T20150000176,2015-04-01 00:27:00,0,Dark Street lights on,Dark Street lights on
T20150000182,2015-04-01 07:45:00,0,Day,Day
T20150000184,2015-04-01 09:25:00,0,Day,Day
T20150000186,2015-04-01 09:45:00,0,Day,Day
T20150000187,2015-03-01 21:15:00,0,Dark Street lights on,Dark Street lights on
T20150000188,2015-04-01 09:00:00,0,Day,Day
T20150000190,2015-04-01 11:30:00,0,Day,Day
T20150000191,2015-04-01 10:45:00,0,Day,Day
T20150000192,2015-04-01 10:03:00,0,Day,Day
T20150000198,2015-04-01 14:05:00,0,Day,Day
T20150000201,2015-04-01 14:03:00,0,Day,Day
T20150000202,2015-04-01 14:45:00,0,Day,Day
T20150000203,2015-04-01 14:50:00,0,Day,Day
T20150000206,2015-04-01 16:12:00,0,Day,Day
T20150000208,2015-04-01 17:30:00,0,Day,Day
T20150000210,2015-04-01 17:00:00,0,Day,Day
T20150000215,2015-04-01 14:15:00,0,Day,Day
T20150000216,2015-04-01 18:10:00,0,Day,Day
T20150000217,2015-04-01 00:15:00,0,Dark No street lights,Dark Street no lights
T20150000219,2015-04-01 21:30:00,0,Dark No street lights,Dark Street no lights
T20150000220,2015-04-01 21:11:00,0,Dark No street lights,Dark Street no lights
T20150000221,2015-04-01 19:50:00,0,Dark No street lights,Dark Street no lights
T20150000223,2015-04-01 20:55:00,0,Dusk/Dawn,Others
T20150000224,2015-05-01 00:27:00,0,Dark Street lights on,Dark Street lights on
T20150000225,2015-04-01 22:52:00,0,Dark No street lights,Dark Street no lights
T20150000227,2015-05-01 00:30:00,0,Dark Street lights on,Dark Street lights on
T20150000231,2015-05-01 07:20:00,0,Day,Day
T20150000234,2015-05-01 01:50:00,0,Dark No street lights,Dark Street no lights
T20150000239,2015-05-01 08:40:00,0,Day,Day
T20150000241,2015-05-01 09:10:00,0,Day,Day
T20150000250,2015-05-01 12:35:00,0,Day,Day
T20150000252,2015-05-01 10:15:00,0,Day,Day
T20150000256,2015-05-01 14:00:00,0,Day,Day
T20150000257,2015-05-01 15:30:00,0,Day,Day
T20150000258,2015-03-01 23:00:00,0,Dark No street lights,Dark Street no lights
T20150000262,2015-05-01 14:35:00,1,Day,Day
T20150000263,2015-05-01 17:20:00,0,Day,Day
T20150000264,2015-05-01 17:20:00,0,Day,Day
T20150000266,2015-05-01 14:30:00,0,Day,Day
T20150000270,2015-05-01 17:00:00,0,Day,Day
T20150000271,2015-04-01 14:54:00,0,Day,Day
T20150000275,2015-05-01 17:45:00,0,Day,Day
T20150000276,2015-05-01 06:40:00,0,Dusk/Dawn,Others
T20150000279,2015-04-01 19:30:00,0,Day,Day
T20150000281,2015-06-01 00:15:00,0,Dark Street lights on,Dark Street lights on
T20150000283,2015-05-01 17:00:00,0,Day,Day
T20150000284,2015-05-01 14:36:00,0,Day,Day
T20150000287,2015-06-01 08:30:00,0,Day,Day
T20150000288,2015-05-01 11:14:00,0,Day,Day
T20150000290,2015-06-01 08:39:00,0,Day,Day
T20150000296,2015-06-01 08:35:00,0,Day,Day
T20150000298,2015-06-01 11:55:00,0,Day,Day
T20150000299,2015-06-01 10:55:00,0,Day,Day
T20150000303,2015-06-01 07:00:00,0,Day,Day
T20150000304,2015-06-01 09:30:00,0,Day,Day
T20150000306,2015-06-01 13:15:00,0,Day,Day
T20150000308,2015-05-01 14:15:00,0,Day,Day
T20150000309,2015-06-01 12:03:00,0,Day,Day
T20150000310,2015-06-01 11:35:00,0,Day,Day
T20150000313,2015-02-01 13:30:00,0,Day,Day
T20150000314,2015-06-01 10:40:00,0,Day,Day
T20150000318,2015-02-01 08:00:00,0,Day,Day
T20150000320,2015-04-01 23:30:00,0,Dark Street lights on,Dark Street lights on
T20150000321,2015-05-01 15:30:00,0,Day,Day
T20150000325,2015-06-01 13:15:00,0,Day,Day
T20150000327,2015-06-01 14:27:00,0,Day,Day
T20150000331,2015-06-01 14:50:00,0,Day,Day
T20150000335,2015-06-01 17:50:00,0,Day,Day
T20150000336,2015-06-01 17:23:00,0,Day,Day
T20150000337,2015-06-01 17:45:00,0,Day,Day
T20150000339,2015-06-01 17:25:00,0,Day,Day
T20150000340,2015-06-01 18:15:00,0,Day,Day
T20150000342,2015-06-01 17:00:00,0,Day,Day
T20150000344,2015-06-01 19:07:00,0,Day,Day
T20150000345,2015-06-01 16:25:00,0,Day,Day
T20150000349,2015-06-01 21:15:00,0,Dark No street lights,Dark Street no lights
T20150000350,2015-06-01 20:45:00,0,Dark Street lights on,Dark Street lights on
T20150000351,2015-06-01 21:30:00,0,Dark Street lights on,Dark Street lights on
T20150000352,2015-06-01 18:25:00,0,Day,Day
T20150000353,2015-06-01 17:10:00,0,Day,Day
T20150000356,2015-07-01 00:40:00,0,Dark Street lights on,Dark Street lights on
T20150000358,2015-07-01 05:55:00,0,Dusk/Dawn,Others
T20150000361,2015-07-01 07:55:00,0,Day,Day
T20150000362,2015-07-01 08:55:00,0,Day,Day
T20150000363,2015-06-01 11:05:00,0,Day,Day
T20150000364,2015-07-01 07:19:00,0,Day,Day
T20150000365,2015-07-01 07:45:00,0,Day,Day
T20150000369,2015-07-01 10:10:00,0,Day,Day
T20150000376,2015-05-01 15:00:00,0,Day,Day
T20150000381,2015-07-01 11:45:00,0,Day,Day
T20150000382,2015-04-01 12:39:00,0,Day,Day
T20150000383,2015-07-01 11:58:00,0,Day,Day
T20150000384,2015-07-01 09:40:00,0,Day,Day
T20150000385,2015-07-01 12:30:00,0,Day,Day
T20150000386,2015-07-01 13:00:00,0,Day,Day
T20150000387,2015-07-01 13:03:00,0,Day,Day
T20150000388,2015-07-01 10:00:00,0,Day,Day
T20150000389,2015-07-01 11:00:00,0,Day,Day
T20150000391,2015-07-01 13:20:00,0,Day,Day
T20150000392,2015-07-01 12:05:00,1,Day,Day
T20150000393,2015-07-01 13:15:00,0,Day,Day
T20150000396,2015-06-01 21:30:00,0,Dark Street lights on,Dark Street lights on
T20150000397,2015-07-01 09:40:00,0,Day,Day
T20150000400,2015-07-01 13:25:00,0,Day,Day
T20150000401,2015-07-01 12:31:00,0,Day,Day
T20150000402,2015-06-01 17:13:00,0,Day,Day
T20150000403,2015-07-01 15:40:00,0,Day,Day
T20150000404,2015-07-01 10:00:00,0,Day,Day
T20150000406,2015-07-01 17:05:00,0,Day,Day
T20150000407,2015-07-01 18:02:00,0,Day,Day
T20150000409,2015-07-01 08:30:00,0,Unknown,Others
T20150000411,2015-07-01 15:15:00,0,Day,Day
T20150000414,2015-07-01 19:10:00,0,Day,Day
T20150000415,2015-07-01 19:00:00,0,Dusk/Dawn,Others
T20150000416,2015-07-01 15:20:00,0,Day,Day
T20150000417,2015-07-01 16:00:00,0,Day,Day
T20150000418,2015-07-01 20:10:00,0,Dusk/Dawn,Others
T20150000420,2015-07-01 14:55:00,0,Day,Day
T20150000421,2015-04-01 16:20:00,0,Day,Day
T20150000424,2015-07-01 21:26:00,0,Dark Street lights on,Dark Street lights on
T20150000430,2015-08-01 05:00:00,0,Dark Street lights unknown,Others
T20150000432,2015-08-01 06:05:00,0,Dusk/Dawn,Others
T20150000438,2015-08-01 08:20:00,0,Day,Day
T20150000439,2015-06-01 08:05:00,0,Day,Day
T20150000441,2015-07-01 20:10:00,0,Dark No street lights,Dark Street no lights
T20150000448,2015-08-01 10:00:00,0,Day,Day
T20150000449,2015-08-01 09:30:00,0,Day,Day
T20150000450,2015-08-01 13:00:00,0,Day,Day
T20150000451,2015-08-01 13:16:00,0,Day,Day
T20150000453,2015-08-01 13:50:00,0,Day,Day
T20150000454,2015-08-01 12:52:00,0,Day,Day
T20150000455,2015-08-01 09:45:00,0,Day,Day
T20150000458,2015-08-01 14:52:00,0,Day,Day
T20150000459,2015-07-01 21:00:00,0,Dark Street lights on,Dark Street lights on
T20150000460,2015-08-01 14:20:00,0,Day,Day
T20150000462,2015-06-01 14:20:00,0,Day,Day
T20150000464,2015-08-01 14:25:00,0,Day,Day
T20150000465,2015-08-01 13:00:00,0,Day,Day
T20150000466,2015-08-01 13:40:00,0,Day,Day
T20150000467,2015-07-01 16:00:00,0,Day,Day
T20150000468,2015-08-01 15:20:00,0,Day,Day
T20150000469,2015-08-01 15:35:00,0,Day,Day
T20150000471,2015-08-01 16:30:00,0,Day,Day
T20150000474,2015-08-01 16:10:00,0,Day,Day
T20150000475,2015-08-01 13:40:00,0,Day,Day
T20150000477,2015-08-01 14:25:00,0,Day,Day
T20150000479,2015-08-01 17:30:00,0,Day,Day
T20150000482,2015-08-01 14:50:00,0,Day,Day
T20150000483,2015-08-01 14:45:00,0,Day,Day
T20150000484,2015-08-01 16:12:00,0,Day,Day
T20150000485,2015-08-01 18:00:00,0,Day,Day
T20150000486,2015-08-01 10:30:00,0,Day,Day
T20150000487,2015-08-01 17:50:00,0,Day,Day
T20150000491,2015-08-01 19:00:00,0,Dusk/Dawn,Others
T20150000492,2015-08-01 18:28:00,0,Day,Day
T20150000493,2015-08-01 16:00:00,0,Day,Day
T20150000494,2015-07-01 12:30:00,0,Day,Day
T20150000496,2015-08-01 15:30:00,0,Unknown,Others
T20150000497,2015-08-01 18:45:00,0,Day,Day
T20150000498,2015-08-01 16:50:00,0,Day,Day
T20150000499,2015-07-01 14:45:00,0,Day,Day
T20150000501,2015-08-01 03:40:00,0,Dark Street lights unknown,Others
T20150000503,2015-08-01 22:00:00,0,Dark No street lights,Dark Street no lights
T20150000505,2015-09-01 00:59:00,0,Dark Street lights on,Dark Street lights on
T20150000506,2015-09-01 01:25:00,0,Dark Street lights on,Dark Street lights on
T20150000507,2015-09-01 03:16:00,0,Dark Street lights on,Dark Street lights on
T20150000510,2015-09-01 06:50:00,0,Dusk/Dawn,Others
T20150000511,2015-09-01 09:45:00,0,Day,Day
T20150000514,2015-05-01 12:30:00,0,Day,Day
T20150000516,2015-09-01 10:10:00,0,Day,Day
T20150000517,2015-09-01 09:38:00,0,Day,Day
T20150000521,2015-09-01 09:10:00,0,Day,Day
T20150000525,2015-01-01 16:00:00,0,Day,Day
T20150000526,2015-09-01 07:55:00,0,Day,Day
T20150000527,2015-08-01 18:45:00,0,Day,Day
T20150000528,2015-09-01 10:15:00,0,Day,Day
T20150000529,2015-08-01 15:25:00,0,Day,Day
T20150000532,2015-09-01 10:30:00,0,Day,Day
T20150000538,2015-09-01 11:45:00,0,Day,Day
T20150000542,2015-08-01 19:00:00,0,Dusk/Dawn,Others
T20150000543,2015-09-01 10:30:00,0,Day,Day
T20150000546,2015-09-01 13:15:00,0,Day,Day
T20150000547,2015-08-01 11:20:00,0,Day,Day
T20150000548,2015-09-01 12:40:00,0,Day,Day
T20150000549,2015-09-01 09:31:00,0,Day,Day
T20150000552,2015-02-01 08:15:00,0,Day,Day
T20150000554,2015-09-01 15:20:00,0,Day,Day
T20150000560,2015-09-01 15:15:00,0,Day,Day
T20150000563,2015-05-01 16:20:00,0,Day,Day
T20150000566,2015-09-01 16:56:00,0,Day,Day
T20150000567,2015-09-01 17:15:00,0,Day,Day
T20150000568,2015-09-01 17:50:00,0,Dusk/Dawn,Others
T20150000572,2015-09-01 15:20:00,0,Day,Day
T20150000573,2015-09-01 18:00:00,0,Day,Day
T20150000580,2015-09-01 16:45:00,0,Day,Day
T20150000581,2015-09-01 18:45:00,0,Day,Day
T20150000583,2015-09-01 20:07:00,0,Dusk/Dawn,Others
T20150000584,2015-09-01 16:40:00,0,Day,Day
T20150000589,2015-09-01 20:45:00,0,Dark Street lights on,Dark Street lights on
T20150000590,2015-09-01 18:30:00,0,Dusk/Dawn,Others
T20150000591,2015-09-01 22:16:00,0,Dark Street lights on,Dark Street lights on
T20150000592,2015-09-01 19:25:00,0,Dark Street lights on,Dark Street lights on
T20150000595,2015-08-01 18:25:00,0,Day,Day
T20150000596,2015-09-01 18:05:00,0,Day,Day
T20150000597,2015-09-01 23:25:00,0,Dark Street lights on,Dark Street lights on
T20150000598,2015-10-01 00:50:00,0,Dark Street lights on,Dark Street lights on
T20150000599,2015-10-01 00:30:00,0,Dark Street lights unknown,Others
T20150000600,2015-09-01 19:47:00,0,Dusk/Dawn,Others
T20150000603,2015-10-01 02:10:00,0,Dark No street lights,Dark Street no lights
T20150000605,2015-06-01 21:20:00,0,Dark No street lights,Dark Street no lights
T20150000606,2015-07-01 09:45:00,0,Day,Day
T20150000607,2015-10-01 05:22:00,0,Dark Street lights on,Dark Street lights on
T20150000609,2015-06-01 16:45:00,0,Day,Day
T20150000611,2015-10-01 07:10:00,0,Day,Day
T20150000614,2015-10-01 08:00:00,0,Day,Day
T20150000615,2015-10-01 10:35:00,0,Day,Day
T20150000616,2015-10-01 02:27:00,0,Dark Street lights unknown,Others
T20150000617,2015-10-01 12:15:00,0,Day,Day
T20150000620,2015-10-01 11:45:00,0,Day,Day
T20150000622,2015-10-01 12:45:00,0,Day,Day
T20150000627,2015-10-01 12:35:00,0,Day,Day
T20150000630,2015-09-01 22:34:00,0,Dark Street lights on,Dark Street lights on
T20150000632,2015-10-01 09:40:00,0,Day,Day
T20150000633,2015-10-01 12:20:00,0,Day,Day
T20150000636,2015-10-01 14:50:00,0,Day,Day
T20150000637,2015-10-01 11:45:00,0,Day,Day
T20150000639,2015-10-01 13:05:00,0,Day,Day
T20150000640,2015-10-01 11:20:00,0,Day,Day
T20150000641,2015-10-01 16:20:00,0,Day,Day
T20150000643,2015-10-01 16:30:00,0,Day,Day
T20150000645,2015-10-01 08:09:00,0,Day,Day
T20150000646,2015-08-01 21:20:00,0,Dark Street lights unknown,Others
T20150000647,2015-10-01 17:30:00,0,Day,Day
T20150000650,2015-09-01 23:05:00,0,Dark Street lights on,Dark Street lights on
T20150000651,2015-10-01 14:21:00,1,Day,Day
T20150000654,2015-10-01 20:03:00,0,Dusk/Dawn,Others
T20150000655,2015-10-01 15:15:00,0,Day,Day
T20150000658,2015-09-01 15:50:00,0,Day,Day
T20150000661,2015-10-01 05:15:00,0,Dusk/Dawn,Others
T20150000662,2015-10-01 16:50:00,0,Day,Day
T20150000670,2015-10-01 06:25:00,0,Dusk/Dawn,Others
T20150000672,2015-10-01 15:07:00,0,Day,Day
T20150000673,2015-11-01 03:48:00,1,Dark No street lights,Dark Street no lights
T20150000677,2015-11-01 05:55:00,0,Dusk/Dawn,Others
T20150000682,2015-11-01 03:30:00,0,Dark No street lights,Dark Street no lights
T20150000683,2015-11-01 10:35:00,0,Day,Day
T20150000684,2015-11-01 09:30:00,0,Day,Day
T20150000687,2015-08-01 07:45:00,0,Day,Day
T20150000688,2015-11-01 13:20:00,0,Day,Day
T20150000689,2015-11-01 12:40:00,0,Day,Day
T20150000691,2015-11-01 00:43:00,1,Dark No street lights,Dark Street no lights
T20150000692,2015-11-01 13:05:00,0,Day,Day
T20150000693,2015-11-01 13:49:00,0,Day,Day
T20150000698,2015-11-01 14:25:00,0,Day,Day
T20150000699,2015-11-01 15:20:00,0,Day,Day
T20150000700,2015-11-01 09:05:00,0,Day,Day
T20150000701,2015-04-01 14:15:00,0,Day,Day
T20150000702,2015-11-01 15:25:00,0,Day,Day
T20150000704,2015-11-01 16:55:00,0,Day,Day
T20150000711,2015-11-01 13:30:00,0,Unknown,Others
T20150000713,2015-11-01 18:15:00,0,Day,Day
T20150000714,2015-11-01 18:39:00,0,Day,Day
T20150000716,2015-11-01 17:20:00,0,Day,Day
T20150000718,2015-11-01 20:00:00,0,Dusk/Dawn,Others
T20150000721,2015-11-01 15:15:00,0,Day,Day
T20150000725,2015-09-01 07:25:00,0,Day,Day
T20150000726,2015-09-01 12:30:00,0,Day,Day
T20150000727,2015-11-01 22:20:00,0,Dark No street lights,Dark Street no lights
T20150000729,2015-12-01 02:30:00,0,Dark No street lights,Dark Street no lights
T20150000730,2015-08-01 08:48:00,0,Day,Day
T20150000731,2015-12-01 04:50:00,0,Dusk/Dawn,Others
T20150000734,2015-11-01 13:30:00,0,Day,Day
T20150000735,2015-12-01 07:45:00,0,Day,Day
T20150000737,2015-12-01 07:15:00,0,Day,Day
T20150000739,2015-12-01 08:20:00,0,Day,Day
T20150000740,2015-12-01 10:30:00,0,Day,Day
T20150000743,2015-12-01 10:08:00,0,Day,Day
T20150000746,2015-12-01 12:00:00,0,Day,Day
T20150000749,2015-12-01 12:10:00,0,Day,Day
T20150000751,2015-12-01 12:20:00,0,Day,Day
T20150000754,2015-12-01 10:55:00,0,Day,Day
T20150000760,2015-12-01 13:14:00,0,Day,Day
T20150000761,2015-11-01 23:51:00,0,Dark Street lights on,Dark Street lights on
T20150000762,2015-12-01 13:57:00,0,Day,Day
T20150000763,2015-12-01 14:10:00,0,Day,Day
T20150000765,2015-11-01 22:30:00,0,Dark Street lights on,Dark Street lights on
T20150000767,2015-12-01 10:20:00,0,Day,Day
T20150000768,2015-09-01 12:42:00,0,Day,Day
T20150000770,2015-12-01 15:30:00,0,Day,Day
T20150000771,2015-12-01 13:02:00,0,Day,Day
T20150000775,2015-12-01 16:40:00,0,Day,Day
T20150000777,2015-12-01 17:05:00,0,Day,Day
T20150000779,2015-12-01 17:30:00,0,Day,Day
T20150000780,2015-12-01 17:25:00,0,Day,Day
T20150000782,2015-12-01 18:00:00,0,Day,Day
T20150000784,2015-01-01 17:50:00,0,Day,Day
T20150000786,2015-07-01 10:30:00,0,Day,Day
T20150000787,2015-11-01 16:55:00,0,Day,Day
T20150000788,2015-12-01 11:50:00,0,Day,Day
T20150000789,2015-12-01 16:00:00,0,Day,Day
T20150000790,2015-12-01 17:00:00,0,Day,Day
T20150000793,2015-12-01 19:05:00,0,Dusk/Dawn,Others
T20150000794,2015-12-01 17:15:00,0,Day,Day
T20150000795,2015-12-01 18:50:00,0,Day,Day
T20150000798,2015-12-01 16:00:00,0,Day,Day
T20150000799,2015-12-01 20:00:00,0,Dusk/Dawn,Others
T20150000801,2015-12-01 18:50:00,0,Day,Day
T20150000802,2015-12-01 15:40:00,0,Day,Day
T20150000805,2015-12-01 14:55:00,1,Day,Day
T20150000806,2015-12-01 17:10:00,0,Day,Day
T20150000807,2015-12-01 18:40:00,0,Day,Day
T20150000808,2015-12-01 16:00:00,0,Day,Day
T20150000810,2015-12-01 18:00:00,0,Day,Day
T20150000811,2015-12-01 18:25:00,1,Day,Day
T20150000812,2015-12-01 23:59:00,0,Dark Street lights on,Dark Street lights on
T20150000814,2015-10-01 00:25:00,0,Dark Street lights unknown,Others
T20150000819,2015-12-01 16:29:00,0,Day,Day
T20150000820,2015-01-13 06:45:00,0,Dusk/Dawn,Others
T20150000821,2015-12-01 18:20:00,0,Day,Day
T20150000823,2015-06-01 15:00:00,0,Day,Day
T20150000825,2015-07-01 10:30:00,0,Day,Day
T20150000827,2015-10-01 16:37:00,0,Day,Day
T20150000829,2015-09-01 07:30:00,0,Day,Day
T20150000830,2015-01-13 09:00:00,0,Day,Day
T20150000831,2015-08-01 16:25:00,0,Day,Day
T20150000835,2015-07-01 11:15:00,0,Day,Day
T20150000836,2015-01-13 11:30:00,0,Day,Day
T20150000839,2015-01-13 09:45:00,0,Day,Day
T20150000843,2015-01-13 12:30:00,0,Day,Day
T20150000845,2015-01-13 12:00:00,0,Day,Day
T20150000846,2015-10-01 13:30:00,0,Day,Day
T20150000847,2015-12-01 18:00:00,0,Day,Day
T20150000848,2015-01-13 12:48:00,0,Day,Day
T20150000849,2015-01-13 12:30:00,0,Day,Day
T20150000850,2015-01-13 12:30:00,0,Day,Day
T20150000852,2015-01-13 13:10:00,0,Day,Day
T20150000855,2015-01-13 11:00:00,0,Day,Day
T20150000856,2015-11-01 20:15:00,0,Dusk/Dawn,Others
T20150000858,2015-01-13 14:29:00,0,Day,Day
T20150000860,2015-01-13 14:20:00,0,Day,Day
T20150000862,2015-01-13 12:00:00,0,Day,Day
T20150000865,2015-11-01 22:24:00,0,Dark Street lights on,Dark Street lights on
T20150000867,2015-01-13 10:00:00,0,Day,Day
T20150000868,2015-01-13 04:45:00,0,Dark No street lights,Dark Street no lights
T20150000872,2015-01-13 16:27:00,0,Day,Day
T20150000874,2015-01-13 17:13:00,0,Day,Day
T20150000876,2015-01-13 17:35:00,0,Day,Day
T20150000879,2015-06-01 12:30:00,0,Day,Day
T20150000880,2015-01-13 17:35:00,0,Day,Day
T20150000881,2015-01-13 15:00:00,0,Day,Day
T20150000884,2015-01-13 16:00:00,0,Day,Day
T20150000885,2015-01-13 17:30:00,0,Day,Day
T20150000886,2015-01-13 17:15:00,0,Day,Day
T20150000887,2015-01-13 18:15:00,0,Day,Day
T20150000889,2015-01-13 14:08:00,0,Day,Day
T20150000890,2015-12-01 20:30:00,0,Dusk/Dawn,Others
T20150000891,2015-01-13 19:50:00,0,Dusk/Dawn,Others
T20150000897,2015-08-01 14:15:00,0,Day,Day
T20150000898,2015-01-13 19:45:00,0,Dusk/Dawn,Others
T20150000900,2015-01-13 19:55:00,0,Dark Street lights on,Dark Street lights on
T20150000901,2015-01-13 16:56:00,0,Day,Day
T20150000902,2015-01-13 22:37:00,0,Dark No street lights,Dark Street no lights
T20150000904,2015-01-13 18:20:00,0,Day,Day
T20150000907,2015-01-13 23:35:00,1,Dark Street lights on,Dark Street lights on
T20150000910,2015-01-13 08:30:00,0,Day,Day
T20150000912,2015-01-13 13:40:00,0,Day,Day
T20150000915,2015-01-14 07:50:00,0,Day,Day
T20150000916,2015-01-13 16:20:00,0,Day,Day
T20150000918,2015-01-14 08:15:00,0,Day,Day
T20150000921,2015-01-14 08:25:00,0,Day,Day
T20150000922,2015-01-14 08:30:00,0,Day,Day
T20150000926,2015-01-14 08:58:00,0,Day,Day
T20150000927,2015-01-13 21:50:00,0,Dark Street lights on,Dark Street lights on
T20150000928,2015-01-13 18:20:00,0,Day,Day
T20150000929,2015-01-14 09:08:00,0,Day,Day
T20150000930,2015-01-14 09:35:00,0,Day,Day
T20150000931,2015-01-13 13:00:00,0,Day,Day
T20150000933,2015-01-14 08:48:00,0,Day,Day
T20150000934,2015-01-14 09:10:00,0,Day,Day
T20150000939,2015-01-14 10:20:00,0,Day,Day
T20150000940,2015-01-13 14:15:00,0,Day,Day
T20150000944,2015-01-13 22:20:00,0,Dark Street lights on,Dark Street lights on
T20150000945,2015-01-14 10:45:00,0,Day,Day
T20150000948,2015-01-13 17:00:00,0,Day,Day
T20150000949,2015-01-14 14:00:00,0,Day,Day
T20150000951,2015-01-14 11:40:00,0,Day,Day
T20150000952,2015-12-01 17:53:00,0,Day,Day
T20150000958,2015-01-14 14:58:00,0,Day,Day
T20150000959,2015-01-14 16:10:00,0,Day,Day
T20150000960,2015-01-14 10:30:00,0,Day,Day
T20150000961,2015-01-14 16:15:00,0,Day,Day
T20150000962,2015-12-01 17:30:00,0,Day,Day
T20150000963,2015-01-14 16:23:00,0,Day,Day
T20150000964,2015-09-01 18:45:00,0,Day,Day
