ACCIDENT_NO,Lat,Long,POSTCODE_NO,NODE_ID
T20150000846,-38.46414159,145.2665493,3923,281052.0
T20150000847,-37.98624134,145.3084898,3804,280994.0
T20150000848,-37.90797565,145.0728104,3163,41487.0
T20150000849,-38.34541962,143.5851467,3250,280883.0
T20150000850,-37.56026506,143.8444996,3350,53206.0
T20150000852,-37.81095643,144.9478235,3003,36808.0
T20150000855,-37.96156576,145.2280733,3175,54190.0
T20150000856,-37.8677912,144.979018,3182,281706.0
T20150000858,-37.62971822,144.9311211,3064,45674.0
T20150000860,-37.73869236,144.8227214,3021,357143.0
T20150000862,-36.76520133,144.2876704,3550,44646.0
T20150000865,-37.78496983,145.1099183,3108,281217.0
T20150000867,-37.84947658,144.9558039,3206,67193.0
T20150000868,-36.3671995,141.8217701,3418,280796.0
T20150000872,-37.75965999,144.4411199,3340,286084.0
T20150000874,-38.18106425,144.3590713,3216,280800.0
T20150000876,-37.82046484,145.0983132,3127,39216.0
T20150000879,-35.98851986,144.5112431,3562,286869.0
T20150000880,-36.75345101,145.5742579,3666,280866.0
T20150000881,-37.26659032,144.9575113,3764,280877.0
T20150000884,-38.52638062,145.4450101,3925,280876.0
T20150000885,-38.23439715,145.9226886,3821,20838.0
T20150000886,-38.38754171,144.2050721,3230,280806.0
T20150000887,-37.90714264,145.0662841,3163,41480.0
T20150000889,-38.21406939,145.42015,3980,280908.0
T20150000890,-38.18647003,144.4187602,3224,281046.0
T20150000891,-38.63555131,145.6030098,3995,74185.0
T20150000897,-37.64320682,145.0008205,3076,287441.0
T20150000898,-38.50428563,146.1178679,3956,281400.0
T20150000900,-37.70388979,144.7790424,3038,280960.0
T20150000901,-37.82464,145.2133533,3132,290144.0
T20150000902,-37.49116002,143.8315102,3352,282813.0
T20150000904,-37.7477186,145.0107079,3072,63256.0
T20150000907,-36.39323085,145.364141,3629,286544.0
T20150000910,-37.95352623,145.0797407,3202,280808.0
T20150000912,-38.16112961,145.1357021,3199,280911.0
T20150000915,-37.65478784,145.4375704,3775,281590.0
T20150000916,-37.77380339,145.1143397,3107,38301.0
T20150000918,-35.33926633,143.5550973,3585,51348.0
T20150000921,-37.74888224,144.7387653,3023,47065.0
T20150000922,-37.70040969,141.6130297,3315,281421.0
T20150000926,-37.80560856,144.9412091,3003,287985.0
T20150000927,-37.80870979,145.0379582,3101,280871.0
T20150000928,-37.57745667,144.7002105,3429,281805.0
T20150000929,-37.82600064,145.2875861,3153,39785.0
T20150000930,-37.78536457,145.0631005,3102,280915.0
T20150000931,-37.99512501,145.1807325,3173,280885.0
T20150000933,-37.80697362,144.9658525,3000,35319.0
T20150000934,-37.6683333,144.9672581,3061,48360.0
T20150000939,-37.77714597,144.8287061,3020,29816.0
T20150000940,-37.91135195,145.395445,3159,43828.0
T20150000944,-37.85751096,145.1901695,3133,32247.0
T20150000945,-37.92156064,145.3566584,3160,42674.0
T20150000948,-37.87692028,145.0394499,3145,280862.0
T20150000949,-37.85269425,145.243591,3152,40919.0
T20150000951,-37.78835129,144.9497611,3052,118886.0
T20150000952,-37.2629281,145.8454681,3712,281650.0
T20150000958,-38.28224355,144.446339,3227,293017.0
T20150000959,-36.12911151,144.7283221,3564,261558.0
T20150000960,-38.39519095,145.7485297,3945,288650.0
T20150000961,-37.73219147,145.0504897,3081,280933.0
T20150000962,-37.83911701,144.9633883,3205,35400.0
T20150000963,-37.93168637,145.1862846,3170,282446.0
T20150000964,-37.82616703,145.2875816,3153,342200.0
T20150000965,-37.82073857,144.9577349,3000,280920.0
T20150000968,-37.94519464,145.043238,3189,42196.0
T20150000971,-37.77301617,144.774379,3023,44909.0
T20150000974,-37.50094902,144.3440203,3341,281228.0
T20150000977,-38.09643652,145.1981316,3201,357578.0
T20150000978,-37.65158831,145.0201103,3076,280887.0
T20150000979,-38.3421237,143.5845484,3250,50614.0
T20150000982,-38.15949506,144.3439909,3220,280894.0
T20150000991,-37.82624733,145.099929,3127,39235.0
T20150000995,-37.8993974,145.0551251,3163,41413.0
T20150001002,-36.33173333,141.6367225,3418,287013.0
T20150001005,-37.96132568,145.1434408,3171,286541.0
T20150001006,-37.98780957,145.2154207,3175,317364.0
T20150001007,-37.81134925,147.618836,3875,57926.0
T20150001008,-37.72393636,145.1624433,3095,280950.0
T20150001009,-37.93358714,145.0993045,3167,42350.0
T20150001011,-37.80422744,144.9603004,3053,65471.0
T20150001012,-37.83318835,145.0588893,3124,66625.0
T20150001014,-37.9657503,145.1265707,3172,281636.0
T20150001017,-37.76590276,144.966331,3056,63867.0
T20150001021,-38.37816993,145.5672211,3984,281162.0
T20150001023,-38.13649569,144.3491082,3218,357145.0
T20150001024,-37.66098126,145.0185347,3075,280934.0
T20150001025,-37.87606039,145.1776832,3150,280941.0
T20150001027,-37.86900038,144.7608101,3028,280937.0
T20150001029,-38.38395006,143.0117906,3266,287931.0
T20150001031,-38.22026548,146.4726951,3844,287816.0
T20150001033,-38.61654283,145.7415922,3996,286638.0
T20150001036,-37.99390203,145.0399026,3193,280926.0
T20150001037,-37.86201561,145.1692273,3133,29623.0
T20150001038,-36.33792006,145.4022343,3631,287590.0
T20150001040,-37.72734988,144.849653,3033,280957.0
T20150001041,-37.84530147,145.5245151,3139,281424.0
T20150001042,-37.03398638,142.1969915,3401,656073.0
T20150001043,-38.15429877,145.9342179,3820,281216.0
T20150001044,-37.55579945,143.8189752,3350,22519.0
T20150001045,-37.86173679,145.2781029,3155,41001.0
T20150001047,-37.78055525,145.0322692,3078,38104.0
T20150001049,-37.85284001,145.03918,3144,91664.0
T20150001052,-37.79343552,145.0640005,3104,39054.0
T20150001054,-38.04381974,146.3241693,3825,280923.0
T20150001057,-37.55386386,143.8144476,3350,282447.0
T20150001058,-38.05523285,145.3816007,3807,227929.0
